x-axis,1,2
second,Volt,Volt
+1.073050E+00,+64.623E-03,+57.513E-03
+1.074400E+00,+78.442E-03,+80.126E-03
+1.075750E+00,+68.392E-03,+86.910E-03
+1.077100E+00,+85.226E-03,+107.764E-03
+1.078450E+00,+92.261E-03,+125.352E-03
+1.079800E+00,+97.538E-03,+128.367E-03
+1.081150E+00,+101.055E-03,+116.809E-03
+1.082500E+00,+90.754E-03,+97.211E-03
+1.083850E+00,+88.241E-03,+76.106E-03
+1.085200E+00,+80.704E-03,+55.000E-03
+1.086550E+00,+88.995E-03,+54.749E-03
+1.087900E+00,+85.477E-03,+48.216E-03
+1.089250E+00,+94.020E-03,+68.065E-03
+1.090600E+00,+81.457E-03,+73.593E-03
+1.091950E+00,+82.714E-03,+89.925E-03
+1.093300E+00,+76.432E-03,+102.236E-03
+1.094650E+00,+83.970E-03,+120.075E-03
+1.096000E+00,+96.030E-03,+129.874E-03
+1.097350E+00,+92.513E-03,+119.070E-03
+1.098700E+00,+77.940E-03,+88.920E-03
+1.100050E+00,+70.905E-03,+66.809E-03
